sira,gazete,baslik,url,haber_metni
3631,Diken,"L. Doğan Tılıç: Demokrasiden hazzetmeyenler, gazeteciden de hazzetmiyorlar; ya hapsediyor ya öldürüyorlar",http://www.diken.com.tr/l-dogan-tilic-demokrasiden-hazzetmeyenler-gazeteciden-de-hazzetmiyorlar-ya-hapsediyor-ya-olduruyorlar/,"Son yıllarda, Batı medyasında birbiri ardına, 'seçilmiş liderlerle nasıl demokrasiden uzaklaşıldığına' dair analizler yayınlanıyor. Demokrasinin olmazsa olmazı seçimle, demokrasiden uzaklaşmak  Gazeteci cinayetlerine bakarsanız, demokrasiden uzaklaşmakla o cinayetler arasında da doğrudan bir ilişki görürsünüz. Demokrasiden hazzetmeyenler, gazeteciden de hazzetmiyorlar; ya hapsediyor ya öldürüyorlar! Doğan Tılıç'ın yazısı"
3632,Diken,"Ahmet Hakan: İyi Parti ittifaktan koparsa CHP sağa açılamaz, HDP’yle baş başa kalır",http://www.diken.com.tr/ahmet-hakan-iyi-parti-ittifaktan-koparsa-chp-saga-acilamaz-hdpyle-bas-basa-kalir/,"Şu iki noktayı aklımızdan çıkarmayalım: BİR: CHP'nin sağa açılmasının en önemli penceresi İYİ Parti'dir. İKİ: CHP'nin HDP ile yakınlaşmasının en önemli perdesi İYİ Parti'dir. İYİ Parti, millet ittifakından koparsa ne olur? Şu iki şey olur: BİR: CHP'nin sağa açılma stratejisinde gedikler oluşur. İKİ: CHP, aniden HDP ile baş başa kalıverir. AK Parti'nin arzuladığı da işte tam olarak bu! Ahmet Hakan'ın yazısı"
3633,Diken,Rahmi Turan: Uçak yapacağız diyorlardı; ekonomiye kanat takıp ilk Türk uçağını yaptılar,http://www.diken.com.tr/rahmi-turan-ucak-yapacagiz-diyorlardi-ekonomiye-kanat-takip-ilk-turk-ucagini-yaptilar/,"Saray yanlısı bir gazetenin ilginç manşeti şöyleydi: ""Türk ekonomisi uçuşa geçti!"" 'Vay canına' dedim kendi kendime. Memlekette neler oluyormuş da, haberimiz yok! Uçan uçana, kaçan kaçana! ""Kendi uçağımızı kendimiz yapacağız"" diyorlardı ya  Demek ki, ekonomiye kanat takıp ilk Türk uçağını yaptılar! Rahmi Turan'ın yazısı"
3634,Diken,Uğur Meleke: VAR incelemeleriyle ilgili teknik altyapı sorunumuz mu var?,http://www.diken.com.tr/ugur-meleke-var-incelemeleriyle-ilgili-teknik-altyapi-sorunumuz-mu-var/,"Bir VAR incelemesinin 310 saniye sürmesi doğal mı? Lemina-Gustavo pozisyonunda VAR masası 180 saniye boyunca neden karar veremedi? Ve en sonunda hakemi neden monitöre davet etti? Ben MHK'nın, hatta Türk futbolunun değerini korumakla mükellef TFF'nin yerinde olsam bu konuyu 3 boyutlu olarak incelerdim: 1 - Acaba, VAR incelemeleriyle ilgili bir teknik altyapı sorunumuz mu var?"
3635,Sputnik,Anayasa Mahkemesinin Sırrı Süreyya Önder kararının gerekçesi açıklandı,https://tr.sputniknews.com/turkiye/201910031040317485-anayasa-mahkemesinin-sirri-sureyya-onder-kararinin-gerekcesi-aciklandi/,"Anayasa Mahkemesi Genel Kurulunun, bir toplantıdaki açıklamaları nedeniyle ""terör örgütünün propagandasını yapmak"" suçundan mahkum edilen eski HDP Ankara Milletvekili Sırrı Süreyya Önder'in ""ifade özgürlüğü hakkının ihlal edildiğine"" ilişkin kararının gerekçesi açıklandı."
3636,Sözcü,Dünya Hayvanları Koruma Günü’nde 3 köpek vurularak öldürüldü,https://www.sozcu.com.tr/2019/gundem/dunya-hayvanlari-koruma-gununde-3-kopek-vurularak-olduruldu-5369338/,"Dünya Hayvanları Koruma Günü'nde 3 köpek vurularak öldürüldü Dünya Hayvanları Koruma Günü'nde Konya'nın Ilgın ilçesinde iki çoban köpeği, kent merkezinde ise bir köpek kimliği henüz tespit edilemeyen kişi yada kişilerce silahla vurularak öldürdü."
3637,T24,"""Yazlık saray"" inşaatının devam ettiği Okluk Koyu'nda turizm işletmelerinin tahliyesine karar verildi","https://t24.com.tr/haber/yazlik-saray-insaatinin-devam-ettigi-okluk-koyu-nda-turizm-isletmelerinin-tahliyesine-karar-verildi,842105","""Sürekli 'Cumhurbaşkanı geliyor, koyu boşaltın' diyerek insanları soğuttular"""
3638,Anadolu Ajansı,Fenerbahçe'nin konuğu Antalyaspor,https://www.aa.com.tr/tr/guncel/fenerbahcenin-konugu-antalyaspor/1600709,"Fenerbahçe, Süper Lig'in 7. haftasında yarın Antalyaspor'u konuk edecek"
3639,Diken,Hüseyin Gülerce: ABD’nin Türkiye’yi oyaladığını artık yüzlerine söylüyoruz,http://www.diken.com.tr/huseyin-gulerce-abdnin-turkiyeyi-oyaladigini-artik-yuzlerine-soyluyoruz/,"Bugün geldiğimiz noktada, ABD'nin Türkiye'yi oyaladığını artık yüzlerine söylüyoruz.  Gerçekten Washington, devlet ciddiyeti ile bağdaşmayan, müttefikliğe yakışmayan ikiyüzlü bir tavır içinde. Bir yandan bizimle ortak devriye uçuşları yapıyor, bir yandan PKK'lı teröristlerle birlikte görüntü veriyorlar. Suriye'deki PKK'ya binlerce TIR silah yardımını da aralıksız sürdürüyor.  Türkiye, bu düşmanca yaklaşıma elbette daha fazla dayanamaz. Bıçak kemiğe dayandı"
3640,Diken,Sedat Ergin: Çözüm olursa İdlib’deki teröristler nereye gidecek?,http://www.diken.com.tr/sedat-ergin-cozum-olursa-idlibdeki-teroristler-nereye-gidecek/,Bu silahlı savaşçılar ne olacak? Muhtemel bir çözümde Şam'daki meşru otorite ile bir uzlaşıya girmeyi kabul etmemeleri halinde İdlib'de nasıl barınacaklar? Binlercesinin uçaklara konulup Afganistan'a gönderilmesi ya da topluca çöle sürülmeleri gibi bir senaryo söz konusu olamayacağına göre bu insanlar nereye gidecektir? Yoksa İdlib'in büyük bir bölümünün Şam'daki rejimin kontrolüne geçtiği bir senaryoda kuzeye göç
3641,HaberTürk,Alkışlanacak hareket! Muayene ücretleriyle öğrenci okutuyor,https://www.haberturk.com/muayene-ucretleriyle-ogrenci-okutuyor-haberler-2527551,"Edirne'de, özel muayene ücretini, ""Bir öğrenci de sen okut"" kampanyası aracılığıyla öğrencilere burs olarak dağıtan Trakya Üniversitesi Öğretim Görevlisi Prof. Dr. Tuna, çevresine örnek oluyor"
