12	1094	4	7.35
119	4050	3	31.77
4514	14	4	17.47
240	7896	3	46.54
674	263	6	67.43
1309	182	3	29.5
965	14	10	30.72
2392	12	3	8.4
673	12	4	4.67
547	102	3	6.39
128	1037	6	57.87
132	3058	3	30.88
5723	14	4	22.35
5601	5233	3	62.05
6487	14	3	16.76
177	14	98	487.77
565	12	5	6.44
2574	16	3	28.17
129	450	3	19.79
817	7949	3	53.52
127	1963	4	40.05
104	528	3	10.63
4574	12	3	11.97
112	685	3	17.09
1024	153	3	26.21
101	865	3	5.12
4819	101	3	16.86
5270	14	3	12.39
865	101	4	8.94
101	1753	3	8.87
1710	14	7	25.19
1376	250	3	32.98
607	1579	3	38.48
12	3841	3	11.97
136	12	34	56.21
4847	610	3	47.71
105	1752	3	17.43
424	115	3	15.98
149	101	9	4.8
1032	4534	3	48.09
6026	14	3	12.39
102	1987	5	28.07
2106	101	4	16.32
216	102	4	4.08
2503	104	5	39.74
977	481	3	34.36
2172	3259	3	51.27
962	2403	4	61.78
1901	12	3	6.95
101	837	5	13.37
16	139	3	9.53
101	626	7	19.96
104	178	4	7.56
113	111	27	116.21
1520	2364	7	131.58
1802	14	10	49.3
534	1284	3	36.79
109	2831	4	34.07
481	7103	3	50.57
387	122	4	25.84
223	145	3	16.7
102	742	3	7.63
103	252	3	6.8
784	377	3	31.48
13	562	8	73.65
815	295	5	56.41
5995	104	3	25.68
3361	102	3	16.84
331	103	5	18.35
1681	2365	4	66.91
12	3792	3	11.97
408	2644	3	39.31
2437	14	7	33.21
1918	101	3	9.49
2138	101	7	40.28
2811	14	6	27.91
161	12	12	5.81
12	179	20	29.5
2649	1288	3	46.94
2055	12	3	7.62
308	181	12	121.41
533	468	3	30.87
107	105	12	7.7
102	2643	6	41.2
979	152	3	26.17
156	1194	3	27.6
3847	6303	3	64.31
112	1399	5	41.61
595	102	3	6.77
367	12	8	11.02
7754	14	3	16.76
101	1549	3	8.32
172	702	3	25.15
641	103	4	18.01
219	14	25	48.55
156	283	7	57.49
609	434	3	31.39
396	12	8	11.99
