1587	119	3	9.19
247	170	4	10.29
464	12	25	11.31
57	2347	3	7.63
139	204	7	14
1160	104	6	10.63
1362	2325	8	112.76
139	147	10	17.35
2428	7410	3	44.08
12	1094	13	12.24
139	248	7	18.99
1613	2198	4	42.96
419	708	3	16.07
129	250	16	63.92
101	283	30	10.67
221	224	4	9.64
119	4050	3	15.61
103	3406	4	11.56
109	1792	4	9.14
277	14	56	7.33
180	1206	3	12.88
240	7896	3	30.26
138	1195	4	16.84
674	263	6	37.26
245	2084	5	38.92
184	233	4	8.27
203	3176	4	30.82
544	656	3	17.46
2823	103	4	9.84
1989	113	3	7.8
4503	105	3	7.84
1506	101	9	7.8
1309	182	3	14.05
1377	8	4	9.73
1837	834	3	25.57
312	14	51	6.68
6368	103	3	14.09
12	3499	6	10.03
704	978	3	21.59
156	1601	3	13.38
677	103	7	6.86
410	129	4	7.99
2712	362	4	34.25
4692	250	3	26.46
225	1300	3	15.66
124	958	3	7.32
642	1826	5	48.2
517	218	3	9.58
163	136	12	26.38
983	204	3	12.81
203	791	3	11.85
1246	2464	3	29.08
1335	420	3	19.7
12	2059	8	8.23
171	1399	5	28.17
224	248	3	7.12
4036	109	5	27.25
2717	139	3	16.23
481	179	3	9.3
224	147	10	30.12
101	1246	12	12.51
1668	12	9	9.69
5004	101	4	8.29
1098	105	7	13.94
393	5	3	9.82
5710	105	3	9.87
128	1037	6	25.78
1181	2138	5	54.55
132	3058	3	14.84
344	180	7	26.02
5427	7842	3	50.17
16	3553	4	22.84
5601	5233	3	45.67
138	1450	3	11.66
148	542	3	7.21
390	116	5	7.57
3159	117	3	13.09
499	212	3	10.41
117	511	5	8.98
277	489	3	11.86
1296	117	4	12.16
105	278	12	6.95
107	3058	3	6.95
1145	105	6	9.16
7374	142	3	25.46
2364	203	3	19.29
1561	9	3	8.76
1091	109	5	8.86
5220	12	4	6.69
1079	961	3	22.3
4294	12	5	8.36
575	445	3	14.9
6306	16	3	22.78
706	12	17	7.41
152	191	18	71.48
2574	16	3	12.42
232	564	3	11.69
129	450	6	18.21
6674	4893	3	50.17
258	154	9	31.02
817	7949	3	37.14
950	174	3	11.12
127	1963	4	18.64
194	694	3	10.4
117	900	5	13.8
297	141	4	6.79
57	12	324	73.66
1378	2428	3	30.6
963	16	4	11.51
2102	102	6	9.11
104	445	13	18.56
263	434	3	10.97
238	609	3	12.38
1024	153	3	10.29
101	865	13	7.2
140	106	20	6.84
186	1243	5	28.46
610	4847	3	31.58
120	718	4	9.17
12	124	111	7.79
3575	108	3	9.49
581	3056	3	25.84
865	101	13	7.2
743	128	5	16.76
782	1177	3	22.94
203	430	5	19.03
209	310	3	6.92
117	3521	3	13.09
224	753	3	12.63
1319	103	4	7.43
2326	8	3	8.59
590	199	3	10.12
1953	101	8	8.34
794	6394	3	37.44
1376	250	3	17.56
195	666	3	10.04
137	582	4	11.2
173	145	6	7.72
607	1579	3	22.15
154	150	6	7.13
190	9	10	7.6
984	13	18	152.9
117	1782	5	20.61
12	5829	4	6.69
101	5268	4	8.29
4847	610	3	31.58
2257	1027	6	66.65
562	1274	8	77.49
113	1548	3	7.2
14	306	52	6.81
14	107	679	11.42
486	161	3	7.29
196	205	5	11.04
443	122	4	6.94
266	165	9	33.83
1304	129	3	10.26
132	1073	3	8.9
1345	3635	5	62.35
5792	101	4	8.29
904	194	4	17.78
1032	4534	3	31.73
1030	728	3	20.43
5138	138	3	20.95
794	565	3	18.47
111	650	5	7.87
12	1345	13	15.68
142	682	3	7.75
191	2028	9	85.93
101	788	14	7.21
102	1987	7	11.56
107	901	6	10.08
303	362	3	10.69
505	4584	4	41.48
2792	121	4	21.1
4701	101	4	8.29
12	521	24	15
577	144	3	7.34
3134	106	3	7.45
293	212	4	11.22
791	203	3	11.85
107	2359	3	6.95
2	763	4	7.34
363	232	8	40.94
125	107	25	6.88
2503	104	6	19.55
112	2303	3	8.41
408	152	4	10.07
977	481	3	19.68
577	104	8	7.59
2172	3259	3	34.9
962	2403	4	39.96
145	168	7	10.45
116	481	4	7.23
254	145	5	9.72
8	1863	4	13.05
2678	1847	3	32.9
844	496	3	17.45
1267	241	3	16.63
435	1046	4	27.79
148	636	5	18.84
3783	831	4	50.57
717	198	5	24.71
433	130	4	8.29
473	121	7	20.13
1165	166	4	20.08
992	116	4	10.3
625	144	3	7.95
2132	129	3	13.18
113	111	36	18.18
211	1818	4	24.72
1520	2364	6	80.12
266	212	3	6.71
334	7696	3	32.23
128	228	10	25.08
104	1454	6	11.6
12	3945	5	8.36
1220	1650	3	26.18
205	101	45	12.92
238	3585	3	22.67
534	1284	4	30.75
244	319	3	8.98
111	661	5	7.87
170	1083	7	46.42
109	2831	4	12.64
21	286	39	235.08
233	846	3	13.35
857	150	3	9.07
314	159	3	6.96
116	1198	3	7.09
223	145	7	16.02
102	742	11	7.99
21	16	14	9.11
2978	174	3	17.89
784	377	3	15.26
110	366	7	7.27
3200	452	3	26.08
13	562	14	80.11
234	174	4	7.32
815	295	6	37.72
851	119	4	10.44
3361	102	5	11.06
2139	515	3	23.14
209	102	37	25.34
129	1835	3	14.01
106	4153	3	8.87
165	1181	3	12.49
160	516	4	12.06
12	3740	5	8.36
331	103	15	19.3
1681	2365	3	32.9
240	5	3	7.16
486	511	3	14.83
964	101	14	11.52
760	169	3	9.61
1724	113	3	7.2
2	1687	5	20.65
221	1033	3	13.47
143	660	4	12.54
277	899	3	14.55
4386	108	3	9.49
823	126	4	12.7
408	2644	3	22.97
391	360	3	11.75
578	2613	3	25.04
1528	6494	3	41.78
3182	180	3	19.4
118	206	8	9.3
1594	146	4	19.92
1195	21	14	96.42
2138	101	7	6.73
2194	111	3	7.95
17	886	5	13.9
380	566	3	14.85
12	9	252	42.71
124	1552	3	10.1
161	12	83	30.53
2649	1288	3	31.07
12	281	45	30.35
223	1165	3	15.82
4052	119	3	15.61
169	1115	4	18.85
862	534	3	17.83
108	3589	3	8.05
1113	1049	5	46.34
308	181	12	56.81
2504	102	6	11.12
101	4911	4	8.29
105	324	16	20.32
533	468	3	15.04
1101	118	3	6.93
125	907	3	7.1
147	1258	3	10.95
3225	420	3	25.38
287	225	3	7.32
238	331	3	9.38
4347	101	5	10.37
107	105	90	9.08
5409	101	4	8.29
409	149	5	14.26
102	7333	3	9.61
309	213	5	16.7
2758	6707	3	45.11
183	2388	3	17.29
2277	113	3	8.48
8	130	16	7.37
430	670	5	31.98
1036	105	6	7.81
280	171	4	8.52
481	124	8	30.08
1863	101	8	11.19
374	1888	6	52.83
204	284	4	10.86
670	430	5	31.98
564	217	3	11.25
176	423	3	7.75
104	3533	4	11.52
103	705	7	8.39
8272	104	3	14.06
344	328	4	15.91
229	335	3	8.34
102	2643	8	25.63
156	1194	3	11.93
979	152	3	10.38
15	159	3	8.47
3847	6303	3	47.94
344	195	3	6.7
1517	6326	3	41.17
112	1399	5	15.64
117	1258	3	6.92
810	255	3	13.35
1534	281	3	17.77
12	5198	4	6.69
4302	7410	3	47.94
819	5619	3	32.95
2458	12	6	10.03
5321	12	4	6.69
125	1847	3	11.38
1046	1377	3	25.21
239	232	3	6.9
873	152	3	10.05
1776	9	3	7.31
9	2354	3	8.76
909	125	3	7.39
3419	110	3	10
551	139	3	7.1
196	667	7	37.81
2041	639	8	103.17
147	243	6	13.32
