7251	2622	15
12	353	4
856	88	7
29801	4136	14
17017	5352	10
18462	3333	0
482	8589	20
12	9035	1
107	757	7
25615	1752	4
146	1784	17
1444	6515	13
31850	4540	16
28201	8282	5
1520	609	1
57	4920	6
577	6708	18
22469	6682	0
124	5802	11
28900	792	4
122	3416	14
763	4121	2
11178	6867	11
34805	3331	8
10291	8341	8
4751	9480	3
10234	9277	0
46534	1922	9
33226	2701	6
35379	9776	13
22854	5516	11
5693	1357	8
101	7429	7
2859	5589	14
16394	4261	12
659	8882	5
923	3939	1
523	8314	2
1767	8539	3
24427	5284	10
218	484	0
234	2057	2
33344	3365	17
9492	4895	0
1193	8325	14
4248	1300	2
46661	618	8
1373	3133	12
490	1168	2
324	1497	0
1796	4421	9
1282	6308	10
112	1252	3
2	4380	2
14	1723	35
101	103	28
25295	7841	3
710	6874	2
791	8987	5
3839	4382	23
15292	1836	3
541	2893	0
13642	5186	8
182	8290	5
338	6016	2
46602	2672	8
129	6539	7
26105	401	10
28555	563	5
135	1842	17
10503	5715	6
46958	8978	14
989	9237	0
5844	2790	7
224	1051	0
170	2101	21
157	9183	1
8381	4033	5
711	2335	0
253	2292	4
13	3134	7
1801	2549	1
1537	7725	17
21496	1811	3
101	11	6
17293	2616	18
1341	3081	12
15563	1851	5
109	2417	0
102	806	9
42548	6293	1
8	8536	3
14071	1792	3
10643	1295	6
211	7049	8
37407	8438	21
9158	3163	0
39213	2240	10
1963	6989	21
542	6635	8
12	2441	5
378	1930	1
899	5642	8
5662	2304	1
124	8296	10
1737	516	4
370	7003	5
14	3042	15
8002	3562	4
2091	8420	0
188	5531	21
1308	7590	19
14	643	8
30382	2891	1
17619	1622	0
117	6365	7
30266	2364	13
1153	6410	5
2	9338	9
244	918	4
14	8361	13
5078	2596	11
47514	7808	6
8589	9934	26
954	9129	12
6634	7785	5
33171	5767	6
227	6199	2
415	1711	17
17	3981	7
351	5432	24
26827	8169	10
19242	2690	5
105	2669	18
339	1894	8
14	7811	13
1625	8496	31
840	6959	17
45335	8665	9
885	1312	6
371	5398	16
2023	3453	18
110	6239	5
558	8138	5
581	1661	2
4661	336	0
108	5686	11
348	18	9
14	8492	10
28877	8636	2
3768	3676	3
101	6144	4
297	9562	26
1820	9416	15
188	29	14
6721	837	18
8292	2598	10
28246	9613	11
114	8550	4
34320	3211	6
402	5460	8
101	3558	4
2909	6779	11
14	3596	20
1385	5685	10
22740	4154	22
12	6244	2
1099	9601	9
43941	445	13
27298	5251	3
4266	6347	11
29525	7939	1
271	4447	7
103	354	22
101	5516	9
669	7297	2
2365	7817	0
3564	632	4
448	2272	1
194	108	14
41618	24	5
5392	3456	4
14	4620	17
186	8696	20
39262	2419	2
2017	1838	6
1565	5892	2
14	9664	20
104	2957	7
2125	1086	13
1273	3032	13
23445	9774	13
13670	989	2
57	1170	5
116	6114	3
2522	205	7
44084	1800	22
58	499	10
14	2027	5
499	9931	13
185	7985	16
31740	9017	16
4322	5447	19
12	9152	2
30910	8372	10
2	2373	35
34949	7980	1
42806	1380	2
9586	4804	6
828	8389	2
1754	6141	13
47976	3601	11
1637	584	4
43771	3599	15
6595	8718	4
3110	1215	3
14016	2051	16
17396	3676	1
45118	8838	11
107	3507	31
248	9959	2
258	6936	8
101	4449	3
101	5807	1
26530	882	4
2288	5297	23
399	7447	12
2080	7505	13
102	7431	1
12	2060	2
109	1756	0
3362	5376	3
158	3442	4
14	9288	6
40537	8396	8
43813	4475	9
42204	469	14
2715	6492	0
11981	7306	1
18889	5652	4
2643	1720	13
122	4186	14
24805	3279	7
110	1236	3
39240	7151	16
1160	2454	1
42641	6257	8
13	7706	4
6477	5291	4
185	6640	2
246	2980	10
1534	2384	11
3542	4718	20
4576	9149	15
224	1438	7
101	4328	5
48467	6718	1
974	6888	5
307	354	0
793	6604	0
445	2701	16
14	1793	9
11279	3661	3
46417	9916	2
10986	6985	7
912	5976	10
766	3867	29
12	4812	1
13021	6085	12
33238	6253	1
126	3247	17
24123	8375	0
160	8	11
5494	4101	18
259	6395	16
2440	9704	14
2103	9325	6
2830	1348	22
366	3511	3
14	7046	14
932	5430	0
5777	9516	10
101	1258	13
8545	2287	5
106	7038	11
14	6465	14
115	6958	16
5470	2972	2
2403	3641	23
2695	4586	1
12	8776	16
8361	1666	11
112	8324	23
106	5173	6
3630	7233	0
538	303	9
2028	6224	12
2989	2956	12
106	9209	3
36513	1718	4
22220	7455	1
132	8442	6
14	2880	10
132	5942	3
4085	2895	11
3278	1459	12
12	1925	17
2708	5605	6
2205	7367	14
47823	4363	4
119	4305	5
119	349	13
125	7656	15
14	4681	13
333	2277	1
1934	7806	5
110	7134	8
3062	9544	13
8742	5371	5
1448	367	7
413	5356	14
7215	9596	11
32702	957	3
2450	1484	14
3098	3509	16
8940	4857	1
3269	9438	18
1512	9401	16
41370	2560	2
2356	6245	0
12	6596	2
2264	9672	2
932	3094	1
101	3142	4
2344	2908	16
8688	7988	4
546	9020	12
5129	9378	4
21695	5726	11
2606	5900	5
12	297	13
3693	4318	5
14	3015	8
7395	1694	7
3764	6428	4
3723	4904	7
23288	7622	4
101	1319	3
1	8604	12
12	1347	5
201	1939	16
7008	2147	5
5541	7386	1
577	6494	7
14	834	7
6397	4646	0
20720	9000	11
186	627	5
1209	6627	5
14	6861	22
133	1047	10
101	8708	4
29520	7611	7
30041	2760	1
469	1024	1
280	7422	4
263	716	4
14	1519	15
12	5548	7
1550	1593	7
2346	6161	3
2846	4650	25
103	909	4
1950	5789	3
2351	5729	0
31945	4534	1
1299	30	5
12	9071	18
104	5120	14
34774	8741	6
45134	6101	1
120	4438	4
596	1256	10
40709	9245	20
978	3722	11
872	6096	5
12	2374	14
2714	6451	0
2210	235	12
35512	1992	13
14	936	11
102	8964	7
12	1549	3
3869	7461	6
12	4175	9
855	1602	12
46760	9599	9
1347	8382	2
1575	8137	13
1609	8206	14
2259	5079	9
175	7488	13
659	3155	20
29391	149	8
38402	3812	1
10052	8343	7
37637	6411	16
739	7521	9
30931	3439	1
992	1832	7
4315	3673	3
1716	7038	4
154	4052	3
6951	2158	7
126	807	22
17697	9706	1
379	2602	3
2496	1414	3
28286	9171	3
38756	3616	6
41619	5855	3
37250	878	5
29602	8869	6
12194	9161	7
13634	457	19
1311	4303	9
19661	977	2
24939	5308	7
12	6221	4
35597	6097	7
2174	6618	2
24417	8405	0
22596	6743	0
12816	8775	19
3731	7765	7
12	5859	21
27370	9997	9
25561	9527	5
13911	7497	14
162	8911	5
131	2966	13
385	2143	1
16759	687	0
43703	7673	1
131	1692	22
1919	9153	7
23365	907	9
6323	9062	9
101	3725	5
40360	6399	5
2927	1429	1
14	6090	24
1382	9258	0
686	7562	14
104	1166	3
22139	1339	20
12	3817	3
259	4408	18
2070	4521	11
5305	274	9
28922	9609	9
31194	5684	12
132	5278	8
244	8438	13
45874	8261	2
613	3565	2
1449	2434	15
1893	6996	5
102	2217	8
23250	9810	7
5266	9207	12
794	3050	13
14	2443	11
519	1600	9
14	682	14
13907	9944	7
685	4553	3
1183	9091	8
14	4000	21
287	7179	20
119	8728	3
22348	6711	14
46488	2520	2
113	5739	13
213	4205	9
5995	8988	9
1687	6597	18
2757	6942	6
6269	7759	17
12	4265	4
1674	7250	0
3890	668	25
5731	6310	3
815	8098	11
170	7730	3
35198	7270	15
15	4015	7
7	5280	6
136	9885	4
6766	5733	6
2089	6725	2
12	4143	18
3505	2959	13
5886	8817	5
30026	9897	3
34221	3109	1
240	5106	13
14	9772	23
139	7528	11
35911	7838	5
12	2342	21
147	2288	24
104	8135	6
695	8368	23
2220	891	18
1099	746	7
14306	5212	8
85	3731	17
30315	4359	25
973	4865	27
997	421	9
729	6936	10
13	8604	5
109	2582	0
12	4071	7
110	6102	22
101	3522	23
328	2939	24
33987	2991	2
47036	2607	2
21	5753	4
17	9574	5
107	5854	9
229	5350	10
10759	9463	14
197	8290	7
634	3344	4
103	3274	8
8920	8245	4
14	1130	8
3344	557	3
31746	6698	12
103	1324	13
103	3597	8
193	5167	7
441	1109	6
12620	4641	13
18458	9175	10
125	846	5
30177	1842	3
42225	8750	1
1693	4246	19
101	2251	21
42539	423	9
14	4492	8
102	4874	1
102	2471	12
107	2875	16
4134	947	13
942	4131	4
459	2916	12
13957	8703	17
265	484	2
9600	5839	0
1685	1510	3
143	5986	5
887	3594	5
4390	9013	1
171	5268	7
14915	2748	1
1808	6782	4
46220	2952	14
12	911	2
26666	5867	1
1911	1851	2
207	5283	2
5435	398	3
